species,class,order,maximum_lifespan_yr,mass_g,volancy,fossoriallity,foraging_environment,daily_activity
Crocidura_suaveolens,Mammalia,Soricomorpha,2.7,7.7,nonvolant,semifossorial,terrestrial,cathemeral
Crocuta_crocuta,Mammalia,Carnivora,41.1,63000,nonvolant,nonfossorial,terrestrial,nocturnal
Cryptomys_damarensis,Mammalia,Rodentia,15.5,180,nonvolant,fossorial,terrestrial,cathemeral
Cryptoprocta_ferox,Mammalia,Carnivora,23.1,9500,nonvolant,nonfossorial,semiarboreal,cathemeral
Cryptotis_parva,Mammalia,Soricomorpha,3.5,4.5,nonvolant,semifossorial,terrestrial,cathemeral
Ctenodactylus_gundi,Mammalia,Rodentia,5.8,288.8,nonvolant,nonfossorial,terrestrial,diurnal
Cuniculus_paca,Mammalia,Rodentia,16.3,9000,nonvolant,semifossorial,terrestrial,nocturnal
Cuniculus_taczanowskii,Mammalia,Rodentia,18.9,8999.9,nonvolant,semifossorial,terrestrial,nocturnal
Cuon_alpinus,Mammalia,Carnivora,16.1,15750,nonvolant,semifossorial,terrestrial,cathemeral
Cynictis_penicillata,Mammalia,Carnivora,15.2,598.5,nonvolant,semifossorial,terrestrial,diurnal
Cynomys_ludovicianus,Mammalia,Rodentia,11,1125,nonvolant,semifossorial,arboreal,diurnal
Cynopterus_brachyotis,Mammalia,Chiroptera,10.1,45,volant,nonfossorial,volant,nocturnal
Cynopterus_sphinx,Mammalia,Chiroptera,10,75,volant,nonfossorial,volant,nocturnal
Dactylopsila_trivirgata,Mammalia,Diprotodontia,9.6,318,nonvolant,nonfossorial,arboreal,nocturnal
Dama_dama,Mammalia,Artiodactyla,21.1,70000,nonvolant,nonfossorial,terrestrial,diurnal
Damaliscus_lunatus,Mammalia,Artiodactyla,23.6,110000,nonvolant,nonfossorial,terrestrial,crepuscular
Damaliscus_pygargus,Mammalia,Artiodactyla,23,84500,nonvolant,nonfossorial,terrestrial,crepuscular
Dasycercus_cristicauda,Mammalia,Dasyuromorphia,7.4,115,nonvolant,semifossorial,terrestrial,cathemeral
Dasyprocta_azarae,Mammalia,Rodentia,11.8,2650,nonvolant,nonfossorial,terrestrial,diurnal
Dasyprocta_fuliginosa,Mammalia,Rodentia,18,3500,nonvolant,nonfossorial,terrestrial,diurnal
Dasyprocta_leporina,Mammalia,Rodentia,17.8,3265,nonvolant,nonfossorial,terrestrial,diurnal
Dasyprocta_mexicana,Mammalia,Rodentia,13.1,2700,nonvolant,nonfossorial,terrestrial,diurnal
Dasyprocta_prymnolopha,Mammalia,Rodentia,16.3,2900,nonvolant,nonfossorial,terrestrial,diurnal
Dasyprocta_punctata,Mammalia,Rodentia,13.8,2150,nonvolant,nonfossorial,terrestrial,diurnal
Dasypus_novemcinctus,Mammalia,Cingulata,22.3,5500,nonvolant,semifossorial,terrestrial,cathemeral
Dasyuroides_byrnei,Mammalia,Dasyuromorphia,8,105,nonvolant,semifossorial,terrestrial,nocturnal
Dasyurus_geoffroii,Mammalia,Dasyuromorphia,6.2,890,nonvolant,nonfossorial,terrestrial,nocturnal
Dasyurus_hallucatus,Mammalia,Dasyuromorphia,5.9,525,nonvolant,nonfossorial,terrestrial,nocturnal
Dasyurus_maculatus,Mammalia,Dasyuromorphia,6.8,5500,nonvolant,nonfossorial,terrestrial,nocturnal
Hapalemur_griseus,Mammalia,Primates,23.3,1347.5,nonvolant,nonfossorial,semiarboreal,cathemeral
Haplonycteris_fischeri,Mammalia,Chiroptera,10,18,volant,nonfossorial,volant,nocturnal
Helarctos_malayanus,Mammalia,Carnivora,35.9,46000,nonvolant,nonfossorial,semiarboreal,nocturnal
Heliosciurus_rufobrachium,Mammalia,Rodentia,8.7,326.5,nonvolant,nonfossorial,semiarboreal,crepuscular
Helogale_parvula,Mammalia,Carnivora,18,274.8,nonvolant,semifossorial,terrestrial,diurnal
Hemibelideus_lemuroides,Mammalia,Diprotodontia,5.4,1040,nonvolant,nonfossorial,arboreal,nocturnal
Hemiechinus_auritus,Mammalia,Erinaceomorpha,7.6,342,nonvolant,semifossorial,terrestrial,nocturnal
Hemitragus_hylocrius,Mammalia,Artiodactyla,17.3,75000,nonvolant,nonfossorial,terrestrial,diurnal
Herpestes_javanicus,Mammalia,Carnivora,16.6,800,nonvolant,nonfossorial,terrestrial,cathemeral
Heterocephalus_glaber,Mammalia,Rodentia,31,35,nonvolant,fossorial,terrestrial,cathemeral
Hexaprotodon_liberiensis,Mammalia,Artiodactyla,42.3,215000,nonvolant,nonfossorial,aquatic,nocturnal
Hippopotamus_amphibius,Mammalia,Artiodactyla,61.2,3750000,nonvolant,nonfossorial,terrestrial,nocturnal
Hipposideros_fulvus,Mammalia,Chiroptera,13,7,volant,nonfossorial,volant,nocturnal
Hippotragus_equinus,Mammalia,Artiodactyla,25.9,225000,nonvolant,nonfossorial,terrestrial,diurnal
Hippotragus_niger,Mammalia,Artiodactyla,22.2,225000,nonvolant,nonfossorial,terrestrial,diurnal
Hoplomys_gymnurus,Mammalia,Rodentia,7,504,nonvolant,semifossorial,terrestrial,nocturnal
Hyaena_brunnea,Mammalia,Carnivora,31.9,42250,nonvolant,nonfossorial,terrestrial,nocturnal
Hyaena_hyaena,Mammalia,Carnivora,25,40000,nonvolant,nonfossorial,terrestrial,nocturnal
Hydrictis_maculicollis,Mammalia,Carnivora,22.9,4000,nonvolant,semifossorial,aquatic,cathemeral
Hydrochoerus_hydrochaeris,Mammalia,Rodentia,15.1,55000,nonvolant,nonfossorial,terrestrial,crepuscular
Hydromys_chrysogaster,Mammalia,Rodentia,7.3,850,nonvolant,nonfossorial,aquatic,cathemeral
Hylobates_agilis,Mammalia,Primates,49,5925,nonvolant,nonfossorial,arboreal,diurnal
Hylobates_lar,Mammalia,Primates,56,6810,nonvolant,nonfossorial,arboreal,diurnal
Hylobates_moloch,Mammalia,Primates,45,6207.5,nonvolant,nonfossorial,arboreal,diurnal
Hylobates_muelleri,Mammalia,Primates,57,5765,nonvolant,nonfossorial,arboreal,diurnal
Hylobates_pileatus,Mammalia,Primates,38,5735,nonvolant,nonfossorial,arboreal,diurnal
Hypogeomys_antimena,Mammalia,Rodentia,12.6,1250,nonvolant,semifossorial,terrestrial,nocturnal
Hystrix_africaeaustralis,Mammalia,Rodentia,23.1,24000,nonvolant,semifossorial,terrestrial,nocturnal
Hystrix_brachyura,Mammalia,Rodentia,27.3,8000,nonvolant,semifossorial,terrestrial,nocturnal
Hystrix_cristata,Mammalia,Rodentia,28,20000,nonvolant,semifossorial,terrestrial,nocturnal
Hystrix_indica,Mammalia,Rodentia,27.1,20000,nonvolant,semifossorial,terrestrial,nocturnal
Ichneumia_albicauda,Mammalia,Carnivora,14.8,3500,nonvolant,nonfossorial,terrestrial,nocturnal
Isoodon_macrourus,Mammalia,Peramelemorphia,6.8,1600,nonvolant,nonfossorial,terrestrial,nocturnal
Isoodon_obesulus,Mammalia,Peramelemorphia,6.5,700,nonvolant,nonfossorial,terrestrial,nocturnal
Jaculus_jaculus,Mammalia,Rodentia,7.3,55,nonvolant,semifossorial,terrestrial,nocturnal
Jaculus_orientalis,Mammalia,Rodentia,5.5,134,nonvolant,semifossorial,terrestrial,nocturnal
Kerodon_rupestris,Mammalia,Rodentia,12.9,950,nonvolant,semifossorial,terrestrial,nocturnal
Kobus_ellipsiprymnus,Mammalia,Artiodactyla,30,175333,nonvolant,nonfossorial,terrestrial,crepuscular
Kobus_kob,Mammalia,Artiodactyla,21.9,105000,nonvolant,nonfossorial,terrestrial,crepuscular
Kobus_leche,Mammalia,Artiodactyla,25.4,94800,nonvolant,nonfossorial,terrestrial,crepuscular
Kobus_megaceros,Mammalia,Artiodactyla,21.1,90000,nonvolant,nonfossorial,terrestrial,crepuscular
Lagidium_viscacia,Mammalia,Rodentia,19.5,1540,nonvolant,nonfossorial,terrestrial,diurnal
Lagorchestes_conspicillatus,Mammalia,Diprotodontia,8.8,3000,nonvolant,nonfossorial,terrestrial,nocturnal
Lagorchestes_hirsutus,Mammalia,Diprotodontia,13.2,1310,nonvolant,nonfossorial,terrestrial,nocturnal
Lagostomus_maximus,Mammalia,Rodentia,10.8,6000,nonvolant,semifossorial,terrestrial,crepuscular
Lagothrix_lagotricha,Mammalia,Primates,32,7650,nonvolant,nonfossorial,arboreal,diurnal
Lagurus_lagurus,Mammalia,Rodentia,3.8,20.3,nonvolant,semifossorial,terrestrial,cathemeral
Lama_glama,Mammalia,Artiodactyla,28.9,140000,nonvolant,nonfossorial,terrestrial,diurnal
Lasionycteris_noctivagans,Mammalia,Chiroptera,12,10,volant,nonfossorial,volant,cathemeral
Lasiopodomys_brandtii,Mammalia,Rodentia,4.1,40,nonvolant,semifossorial,terrestrial,diurnal
Lasiorhinus_krefftii,Mammalia,Diprotodontia,30,31000,nonvolant,semifossorial,terrestrial,nocturnal
Lasiorhinus_latifrons,Mammalia,Diprotodontia,29.9,25500,nonvolant,semifossorial,terrestrial,nocturnal
Lasiurus_cinereus,Mammalia,Chiroptera,14,24,volant,nonfossorial,volant,nocturnal
Lemmus_lemmus,Mammalia,Rodentia,3.3,70,nonvolant,semifossorial,terrestrial,cathemeral
Lemniscomys_barbarus,Mammalia,Rodentia,4.4,26.2,nonvolant,nonfossorial,terrestrial,cathemeral
Lemniscomys_striatus,Mammalia,Rodentia,4.8,42.3,nonvolant,nonfossorial,terrestrial,cathemeral
Lemur_catta,Mammalia,Primates,37.3,2555,nonvolant,nonfossorial,semiarboreal,diurnal
Leontopithecus_chrysomelas,Mammalia,Primates,21.3,535,nonvolant,nonfossorial,arboreal,diurnal
Leontopithecus_rosalia,Mammalia,Primates,31.6,654.5,nonvolant,nonfossorial,arboreal,diurnal
Leopardus_colocolo,Mammalia,Carnivora,19.6,2950,nonvolant,nonfossorial,terrestrial,nocturnal
Leopardus_geoffroyi,Mammalia,Carnivora,23,4000,nonvolant,nonfossorial,terrestrial,nocturnal
Leopardus_pardalis,Mammalia,Carnivora,28.2,8800,nonvolant,nonfossorial,terrestrial,nocturnal
Leopardus_wiedii,Mammalia,Carnivora,24,3666.7,nonvolant,nonfossorial,arboreal,nocturnal
Leporillus_conditor,Mammalia,Rodentia,5.3,332.5,nonvolant,nonfossorial,terrestrial,nocturnal
Leptailurus_serval,Mammalia,Carnivora,22.4,13350,nonvolant,nonfossorial,terrestrial,nocturnal
Leptonycteris_curasoae,Mammalia,Chiroptera,10.1,25,volant,nonfossorial,volant,nocturnal
Lepus_brachyurus,Mammalia,Lagomorpha,13,2519,nonvolant,nonfossorial,terrestrial,nocturnal
Lepus_europaeus,Mammalia,Lagomorpha,10.7,4175,nonvolant,nonfossorial,terrestrial,nocturnal
Lepus_timidus,Mammalia,Lagomorpha,18,4175,nonvolant,nonfossorial,terrestrial,nocturnal
Litocranius_walleri,Mammalia,Artiodactyla,17.3,43500,nonvolant,nonfossorial,terrestrial,diurnal
Lontra_canadensis,Mammalia,Carnivora,27,9000,nonvolant,semifossorial,aquatic,nocturnal
Lophiomys_imhausi,Mammalia,Rodentia,7.5,755,nonvolant,nonfossorial,arboreal,nocturnal
Lophocebus_albigena,Mammalia,Primates,36,9317.5,nonvolant,nonfossorial,arboreal,diurnal
Loris_tardigradus,Mammalia,Primates,19.3,238.2,nonvolant,nonfossorial,arboreal,nocturnal
Loxodonta_africana,Mammalia,Proboscidea,65,4800000,nonvolant,nonfossorial,terrestrial,cathemeral
Lutra_lutra,Mammalia,Carnivora,18.2,6750,nonvolant,semifossorial,aquatic,cathemeral
Lutreolina_crassicaudata,Mammalia,Didelphimorphia,2.9,370,nonvolant,nonfossorial,terrestrial,nocturnal
Lycalopex_culpaeus,Mammalia,Carnivora,13.1,13000,nonvolant,nonfossorial,terrestrial,nocturnal
Lycalopex_griseus,Mammalia,Carnivora,10.9,3990,nonvolant,nonfossorial,terrestrial,nocturnal
Lycalopex_gymnocercus,Mammalia,Carnivora,13.7,8500,nonvolant,nonfossorial,terrestrial,nocturnal
Lycaon_pictus,Mammalia,Carnivora,17,26500,nonvolant,nonfossorial,terrestrial,crepuscular
Lynx_lynx,Mammalia,Carnivora,23.7,23000,nonvolant,nonfossorial,terrestrial,nocturnal
Lynx_rufus,Mammalia,Carnivora,32.3,8600,nonvolant,nonfossorial,terrestrial,nocturnal
Macaca_arctoides,Mammalia,Primates,29.2,9275,nonvolant,nonfossorial,terrestrial,diurnal
Macaca_fascicularis,Mammalia,Primates,39,6362.5,nonvolant,nonfossorial,semiarboreal,diurnal
Macaca_mulatta,Mammalia,Primates,40,8235,nonvolant,nonfossorial,semiarboreal,diurnal
Macaca_radiata,Mammalia,Primates,30,6755,nonvolant,nonfossorial,semiarboreal,diurnal
Macaca_silenus,Mammalia,Primates,40,7875,nonvolant,nonfossorial,arboreal,diurnal
Macaca_sinica,Mammalia,Primates,29.3,4370,nonvolant,nonfossorial,arboreal,diurnal
Macroderma_gigas,Mammalia,Chiroptera,22.6,150,volant,nonfossorial,terrestrial,nocturnal
Macropus_agilis,Mammalia,Diprotodontia,16.9,16000,nonvolant,nonfossorial,terrestrial,nocturnal
Macropus_antilopinus,Mammalia,Diprotodontia,19.8,49500,nonvolant,nonfossorial,terrestrial,nocturnal
Macropus_eugenii,Mammalia,Diprotodontia,15.1,6500,nonvolant,nonfossorial,terrestrial,nocturnal
Macropus_fuliginosus,Mammalia,Diprotodontia,23.2,28250,nonvolant,nonfossorial,terrestrial,nocturnal
Macropus_giganteus,Mammalia,Diprotodontia,25,49500,nonvolant,nonfossorial,terrestrial,crepuscular
Macropus_parma,Mammalia,Diprotodontia,15.9,4250,nonvolant,nonfossorial,terrestrial,nocturnal
Macropus_robustus,Mammalia,Diprotodontia,22,30000,nonvolant,nonfossorial,terrestrial,nocturnal
Macropus_rufogriseus,Mammalia,Diprotodontia,15.2,16200,nonvolant,nonfossorial,terrestrial,crepuscular
Macropus_rufus,Mammalia,Diprotodontia,25,55000,nonvolant,nonfossorial,terrestrial,cathemeral
Macroscelides_proboscideus,Mammalia,Macroscelidea,8.7,40,nonvolant,semifossorial,terrestrial,cathemeral
Macrotis_lagotis,Mammalia,Peramelemorphia,9.6,1300,nonvolant,nonfossorial,terrestrial,nocturnal
Macrotus_californicus,Mammalia,Chiroptera,17,11.6,volant,nonfossorial,volant,nocturnal
Macrotus_waterhousii,Mammalia,Chiroptera,10.4,16,volant,nonfossorial,volant,nocturnal
Madoqua_guentheri,Mammalia,Artiodactyla,17.5,4550,nonvolant,nonfossorial,terrestrial,cathemeral
Madoqua_kirkii,Mammalia,Artiodactyla,17.3,5000,nonvolant,nonfossorial,terrestrial,cathemeral
Mandrillus_leucophaeus,Mammalia,Primates,39,18250,nonvolant,nonfossorial,terrestrial,diurnal
Mandrillus_sphinx,Mammalia,Primates,40,23000,nonvolant,nonfossorial,terrestrial,diurnal
Marmosa_robinsoni,Mammalia,Didelphimorphia,5,75,nonvolant,nonfossorial,arboreal,nocturnal
Marmota_marmota,Mammalia,Rodentia,17.4,3500,nonvolant,fossorial,terrestrial,diurnal
Marmota_monax,Mammalia,Rodentia,14,4000,nonvolant,fossorial,terrestrial,diurnal
Marmota_vancouverensis,Mammalia,Rodentia,12.1,4750,nonvolant,fossorial,terrestrial,diurnal
Martes_flavigula,Mammalia,Carnivora,16,2500,nonvolant,nonfossorial,semiarboreal,diurnal
Martes_foina,Mammalia,Carnivora,18.2,1700,nonvolant,nonfossorial,terrestrial,nocturnal
Martes_martes,Mammalia,Carnivora,18.2,1300,nonvolant,nonfossorial,semiarboreal,nocturnal
Martes_pennanti,Mammalia,Carnivora,14.3,3175,nonvolant,nonfossorial,terrestrial,cathemeral
Martes_zibellina,Mammalia,Carnivora,18.4,1066.7,nonvolant,nonfossorial,terrestrial,cathemeral
Mazama_americana,Mammalia,Artiodactyla,17.1,33000,nonvolant,nonfossorial,terrestrial,cathemeral
Mazama_gouazoubira,Mammalia,Artiodactyla,14.8,17000,nonvolant,nonfossorial,terrestrial,cathemeral
Megaderma_lyra,Mammalia,Chiroptera,14,38.6,volant,nonfossorial,volant,nocturnal
Meles_meles,Mammalia,Carnivora,18.6,13000,nonvolant,semifossorial,terrestrial,nocturnal
Melursus_ursinus,Mammalia,Carnivora,33.3,1.00E+05,nonvolant,nonfossorial,terrestrial,nocturnal
Mephitis_mephitis,Mammalia,Carnivora,13.9,3500,nonvolant,semifossorial,terrestrial,nocturnal
Meriones_crassus,Mammalia,Rodentia,5.6,35,nonvolant,semifossorial,terrestrial,nocturnal
Meriones_libycus,Mammalia,Rodentia,5.2,100,nonvolant,semifossorial,terrestrial,diurnal
Meriones_meridianus,Mammalia,Rodentia,6.8,53,nonvolant,semifossorial,terrestrial,nocturnal
Meriones_persicus,Mammalia,Rodentia,6,100,nonvolant,semifossorial,terrestrial,nocturnal
Meriones_unguiculatus,Mammalia,Rodentia,6.3,53.2,nonvolant,semifossorial,terrestrial,cathemeral
Meriones_vinogradovi,Mammalia,Rodentia,6.7,150,nonvolant,semifossorial,terrestrial,nocturnal
Mesembriomys_gouldii,Mammalia,Rodentia,7.8,900,nonvolant,nonfossorial,arboreal,nocturnal
Mesembriomys_macrurus,Mammalia,Rodentia,7.1,268.5,nonvolant,nonfossorial,arboreal,nocturnal
Mesocricetus_auratus,Mammalia,Rodentia,3.9,105,nonvolant,semifossorial,terrestrial,nocturnal
Mesocricetus_brandti,Mammalia,Rodentia,4.4,174,nonvolant,semifossorial,terrestrial,nocturnal
Metachirus_nudicaudatus,Mammalia,Didelphimorphia,3,440,nonvolant,nonfossorial,semiarboreal,nocturnal
Micaelamys_namaquensis,Mammalia,Rodentia,4.7,47.6,nonvolant,nonfossorial,semiarboreal,nocturnal
Microcebus_murinus,Mammalia,Primates,18.2,64.8,nonvolant,nonfossorial,semiarboreal,nocturnal
Microgale_dobsoni,Mammalia,Afrosoricida,5.6,37.8,nonvolant,semifossorial,terrestrial,cathemeral
Microgale_talazaci,Mammalia,Afrosoricida,5.8,50,nonvolant,semifossorial,semiarboreal,cathemeral
Micromys_minutus,Mammalia,Rodentia,3.8,6,nonvolant,nonfossorial,terrestrial,cathemeral
Microtus_agrestis,Mammalia,Rodentia,4.8,46,nonvolant,semifossorial,terrestrial,cathemeral
Microtus_arvalis,Mammalia,Rodentia,4.8,27.5,nonvolant,semifossorial,terrestrial,cathemeral
Microtus_guentheri,Mammalia,Rodentia,3.9,51.6,nonvolant,semifossorial,terrestrial,cathemeral
Microtus_ochrogaster,Mammalia,Rodentia,5.3,40,nonvolant,semifossorial,terrestrial,cathemeral
Microtus_pinetorum,Mammalia,Rodentia,3.8,25.5,nonvolant,semifossorial,terrestrial,cathemeral
Millardia_gleadowi,Mammalia,Rodentia,4,70,nonvolant,semifossorial,terrestrial,nocturnal
Miniopterus_schreibersii,Mammalia,Chiroptera,22,13,volant,nonfossorial,volant,nocturnal
Miopithecus_talapoin,Mammalia,Primates,27.7,1384.5,nonvolant,nonfossorial,semiarboreal,diurnal
Mirza_coquereli,Mammalia,Primates,17.4,311.2,nonvolant,nonfossorial,arboreal,nocturnal
Mogera_wogura,Mammalia,Soricomorpha,3.2,97,nonvolant,fossorial,terrestrial,diurnal
Monodelphis_adusta,Mammalia,Didelphimorphia,4.1,35,nonvolant,nonfossorial,semiarboreal,nocturnal
Monodelphis_domestica,Mammalia,Didelphimorphia,5.1,105,nonvolant,nonfossorial,semiarboreal,nocturnal
Moschiola_meminna,Mammalia,Artiodactyla,14.5,2450,nonvolant,nonfossorial,terrestrial,nocturnal
Mungos_mungo,Mammalia,Carnivora,17.4,1331.5,nonvolant,semifossorial,terrestrial,diurnal
Muntiacus_muntjak,Mammalia,Artiodactyla,18.8,21000,nonvolant,nonfossorial,terrestrial,cathemeral
Muntiacus_reevesi,Mammalia,Artiodactyla,23.2,18000,nonvolant,nonfossorial,terrestrial,cathemeral
Mus_minutoides,Mammalia,Rodentia,4.3,7.2,nonvolant,semifossorial,terrestrial,nocturnal
Mus_musculus,Mammalia,Rodentia,4,20.5,nonvolant,semifossorial,terrestrial,nocturnal
Mustela_erminea,Mammalia,Carnivora,12.5,110.3,nonvolant,semifossorial,terrestrial,nocturnal
Mustela_eversmanii,Mammalia,Carnivora,9.1,1350,nonvolant,semifossorial,terrestrial,nocturnal
Mustela_lutreola,Mammalia,Carnivora,8.4,590,nonvolant,semifossorial,terrestrial,nocturnal
Mustela_nigripes,Mammalia,Carnivora,9.4,1021,nonvolant,semifossorial,terrestrial,nocturnal
Mustela_nivalis,Mammalia,Carnivora,9.1,46.9,nonvolant,semifossorial,terrestrial,nocturnal
Mustela_putorius,Mammalia,Carnivora,11.1,809,nonvolant,semifossorial,terrestrial,nocturnal
Mustela_sibirica,Mammalia,Carnivora,8.8,565,nonvolant,semifossorial,terrestrial,nocturnal
Myocastor_coypus,Mammalia,Rodentia,8.5,7850,nonvolant,semifossorial,terrestrial,cathemeral
Myodes_glareolus,Mammalia,Rodentia,4.9,20.8,nonvolant,nonfossorial,terrestrial,cathemeral
Myoprocta_acouchy,Mammalia,Rodentia,14.8,775,nonvolant,semifossorial,terrestrial,diurnal
Myosorex_varius,Mammalia,Soricomorpha,2.1,17.5,nonvolant,semifossorial,terrestrial,cathemeral
Myotis_bechsteinii,Mammalia,Chiroptera,21,10.5,volant,nonfossorial,volant,nocturnal
Myotis_blythii,Mammalia,Chiroptera,33,23,volant,nonfossorial,volant,nocturnal
Myotis_brandtii,Mammalia,Chiroptera,41,7,volant,nonfossorial,volant,nocturnal
Myotis_dasycneme,Mammalia,Chiroptera,20.5,15,volant,nonfossorial,volant,nocturnal
Myotis_daubentonii,Mammalia,Chiroptera,28,8.5,volant,nonfossorial,volant,nocturnal
Myotis_emarginatus,Mammalia,Chiroptera,22.7,11,volant,nonfossorial,volant,nocturnal
Myotis_evotis,Mammalia,Chiroptera,22,7.4,volant,nonfossorial,volant,nocturnal
Myotis_grisescens,Mammalia,Chiroptera,16.5,9.25,volant,nonfossorial,volant,nocturnal
Myotis_keenii,Mammalia,Chiroptera,19,7.4,volant,nonfossorial,volant,nocturnal
Myotis_leibii,Mammalia,Chiroptera,12,5.6,volant,nonfossorial,volant,nocturnal
Myotis_lucifugus,Mammalia,Chiroptera,34,10,volant,nonfossorial,volant,nocturnal
Myotis_myotis,Mammalia,Chiroptera,37.1,28.55,volant,nonfossorial,volant,nocturnal
Myotis_mystacinus,Mammalia,Chiroptera,24,5.3,volant,nonfossorial,volant,nocturnal
Myotis_nattereri,Mammalia,Chiroptera,23.7,7.5,volant,nonfossorial,volant,nocturnal
Myotis_nigricans,Mammalia,Chiroptera,7,4.2,volant,nonfossorial,volant,nocturnal
Myotis_sodalis,Mammalia,Chiroptera,20,7.7,volant,nonfossorial,volant,nocturnal
Myotis_thysanodes,Mammalia,Chiroptera,18.3,6,volant,nonfossorial,volant,nocturnal
Myotis_velifer,Mammalia,Chiroptera,11.3,10.1,volant,nonfossorial,volant,nocturnal
Myotis_vivesi,Mammalia,Chiroptera,10,25,volant,nonfossorial,aquatic,nocturnal
Myotis_volans,Mammalia,Chiroptera,21,7,volant,nonfossorial,volant,nocturnal
Myotis_yumanensis,Mammalia,Chiroptera,14,6.25,volant,nonfossorial,volant,nocturnal
Myrmecobius_fasciatus,Mammalia,Dasyuromorphia,11,471.5,nonvolant,nonfossorial,terrestrial,diurnal
Myrmecophaga_tridactyla,Mammalia,Pilosa,31,28500,nonvolant,nonfossorial,terrestrial,nocturnal
Mystacina_tuberculata,Mammalia,Chiroptera,7.6,23.5,volant,semifossorial,terrestrial,nocturnal
Mystromys_albicaudatus,Mammalia,Rodentia,6.3,106,nonvolant,semifossorial,terrestrial,nocturnal
Naemorhedus_baileyi,Mammalia,Artiodactyla,19,28863,nonvolant,nonfossorial,terrestrial,crepuscular
Naemorhedus_caudatus,Mammalia,Artiodactyla,20.3,27000,nonvolant,nonfossorial,terrestrial,crepuscular
Naemorhedus_goral,Mammalia,Artiodactyla,17.6,31750,nonvolant,nonfossorial,terrestrial,crepuscular
Nanger_dama,Mammalia,Artiodactyla,19.3,73000,nonvolant,nonfossorial,terrestrial,diurnal
Nasalis_larvatus,Mammalia,Primates,25.1,14617.5,nonvolant,nonfossorial,semiarboreal,diurnal
Nasua_narica,Mammalia,Carnivora,26.4,3750,nonvolant,nonfossorial,semiarboreal,cathemeral
Nasua_nasua,Mammalia,Carnivora,23.7,4750,nonvolant,nonfossorial,semiarboreal,cathemeral
Neofelis_nebulosa,Mammalia,Carnivora,19.8,19500,nonvolant,nonfossorial,semiarboreal,nocturnal
Neomys_fodiens,Mammalia,Soricomorpha,3.1,15,nonvolant,semifossorial,terrestrial,cathemeral
Neotoma_albigula,Mammalia,Rodentia,9.5,209,nonvolant,nonfossorial,terrestrial,nocturnal
Neotoma_floridana,Mammalia,Rodentia,8.6,291,nonvolant,nonfossorial,terrestrial,nocturnal
Neotoma_lepida,Mammalia,Rodentia,10.5,236,nonvolant,nonfossorial,terrestrial,nocturnal
Neotragus_moschatus,Mammalia,Artiodactyla,13.5,6500,nonvolant,nonfossorial,terrestrial,nocturnal
Neotragus_pygmaeus,Mammalia,Artiodactyla,11.1,2250,nonvolant,nonfossorial,terrestrial,nocturnal
Neovison_vison,Mammalia,Carnivora,11.4,925,nonvolant,semifossorial,aquatic,nocturnal
Noctilio_leporinus,Mammalia,Chiroptera,11.8,50,volant,nonfossorial,aquatic,nocturnal
Nomascus_concolor,Mammalia,Primates,46.1,6852.5,nonvolant,nonfossorial,arboreal,diurnal
Nomascus_leucogenys,Mammalia,Primates,44.1,6000,nonvolant,nonfossorial,arboreal,diurnal
Notomys_alexis,Mammalia,Rodentia,6.4,35,nonvolant,semifossorial,terrestrial,nocturnal
Notomys_mitchellii,Mammalia,Rodentia,5.3,52,nonvolant,semifossorial,terrestrial,nocturnal
Nyctalus_leisleri,Mammalia,Chiroptera,16,16,volant,nonfossorial,volant,crepuscular
Nyctalus_noctula,Mammalia,Chiroptera,12,27.75,volant,nonfossorial,volant,crepuscular
Nyctereutes_procyonoides,Mammalia,Carnivora,16.6,6500,nonvolant,semifossorial,terrestrial,cathemeral
Nycticebus_coucang,Mammalia,Primates,25.8,890.5,nonvolant,nonfossorial,arboreal,nocturnal
Nycticebus_pygmaeus,Mammalia,Primates,17.1,419,nonvolant,nonfossorial,arboreal,nocturnal
Nycticeius_humeralis,Mammalia,Chiroptera,6,9.75,volant,nonfossorial,volant,nocturnal
Nyctomys_sumichrasti,Mammalia,Rodentia,5.7,50,nonvolant,nonfossorial,arboreal,nocturnal
Ochotona_hyperborea,Mammalia,Lagomorpha,9.4,120,nonvolant,semifossorial,terrestrial,cathemeral
Ochotona_princeps,Mammalia,Lagomorpha,7,100,nonvolant,semifossorial,terrestrial,cathemeral
Ochrotomys_nuttalli,Mammalia,Rodentia,8.4,22,nonvolant,nonfossorial,semiarboreal,nocturnal
Octodon_degus,Mammalia,Rodentia,14,235,nonvolant,semifossorial,terrestrial,diurnal
Odocoileus_hemionus,Mammalia,Artiodactyla,22,57000,nonvolant,nonfossorial,terrestrial,crepuscular
Odocoileus_virginianus,Mammalia,Artiodactyla,23,87000,nonvolant,nonfossorial,terrestrial,crepuscular
Okapia_johnstoni,Mammalia,Artiodactyla,33.5,225000,nonvolant,nonfossorial,terrestrial,diurnal
Onychogalea_fraenata,Mammalia,Diprotodontia,7.4,5500,nonvolant,nonfossorial,terrestrial,nocturnal
Onychogalea_unguifera,Mammalia,Diprotodontia,5.5,5800,nonvolant,nonfossorial,terrestrial,nocturnal
Onychomys_torridus,Mammalia,Rodentia,4.6,22,nonvolant,semifossorial,terrestrial,nocturnal
Oreamnos_americanus,Mammalia,Artiodactyla,20.8,90000,nonvolant,nonfossorial,terrestrial,cathemeral
